Aesthetic,Primary Colors,Texture & Materials,Camera & Lens Specs,Lighting Style,Shot Angle
Warcore / Techwear,"Monochrome matte black, slate grey, olive drab, accents of safety orange.","Ballistic nylon, ripstop fabric, waterproof Gore-Tex, heavy buckles, rubberized matte surfaces.",85mm lens for compression; sharp focus on gear details.,"Harsh, overhead fluorescent or cold white street lighting (4000K-5000K).",Low angle (wormâ€™s eye view).
Avant-Garde Goth,"Vantablack, deep charcoal, pale skin tones, crimson accents.","Distressed leather, heavy wool, latex, layered sheer fabrics (tulle/organza), untreated metal.","35mm film stock with slight grain (e.g., Kodak Tri-X 400); high contrast.",Rembrandt lighting (strong chiaroscuro); single light source.,Dutch angle (tilted).
Cyber-Trash / Scavenger Chic,"Mismatched plastics (faded beige, cyan), rust orange, copper wire, dirty white.","Tangled wires, duct tape, scratched plastic, circuit boards, grease, grime.","""Disposable camera"" aesthetic; plastic lens soft focus, flash washout, vignetting.",Direct on-camera flash (harsh and flat).,"Eye-level, candid snapshot style."
Biomechanical,"Metallic blues, greys, organic fleshy pinks or translucent ambers.","Ribbed piping, wet slime, chitinous exoskeletons, fused metal and bone.",Macro photography; sharp details on wet surfaces.,Rim lighting; volumetric fog shafts (God rays).,"Intimate, claustrophobic framing."
Chrome & Liquid Metal,"Silver, mercury, reflected environment colors (neon blues/pinks), high-gloss black.","Perfectly smooth, reflective, viscous fluid, hard polished steel.",Wide-angle lens (24mm); polarization filter.,Multiple point-source lights or HDR environment maps.,Extreme close-up.
Glitchcore,"RGB split (red/green/blue offset), neon magenta, cyan, static noise greys.","Pixelation, jpeg artifacts, screen tearing lines, databending.",Digital sensor clipping; simulated sensor damage; chromatic aberration.,Strobe lighting; high-speed sync.,"Frontal, confrontational."
Datamosh,"Bleeding colors, muddy transitions between frames, high saturation blocks.","Compression artifacts, macroblocking, fluid/melting pixels.",Simulated low bitrate video compression; motion blur.,"Shifted hues; lighting that appears to ""lag"".",Dynamic motion shots.
Analog Horror,"Desaturated NTSC color palette, sepia or green tint.","VHS tape noise, scanlines, magnetic distortion, film grain.",Low-fidelity camcorder lens; poor dynamic range.,Flashlight beam in a dark room.,Point-of-view (POV) handheld.
Thermal / Infrared,"False color spectrum: White/Red (hot), Blue/Purple (cold), or Green/Black.","Grainy sensor noise, lack of surface texture, halo artifacts.",FLIR (Forward-Looking Infrared) simulation.,Emissive lighting (objects glow from heat).,High-angle surveillance drone view or sniper scope POV.
Neo-Brutalism,"Concrete grey, stale white, pitch black shadows.","Rough-cast concrete, exposed aggregate, imposing geometric slabs.",Tilt-shift lens; deep depth of field (f/16).,Harsh midday sun or heavy overcast.,Extreme low angle.
Dieselpunk,"Sepia, oil black, rust red, brass, soot grey.","Oily metal, rivets, smoke, leather, grease stains.",Vintage lens emulation (Petzval) with swirling bokeh.,Tungsten warmth mixed with fire/sparks; hazy atmosphere.,Wide shots showing scale.
Deconstructivism,"Off-whites, raw canvas beige, stark black stitching, muted industrial greys.","Frayed edges, exposed seams, inside-out fabric, raw concrete backgrounds, jagged silhouettes.",Macro lens (100mm) for texture detail; shallow depth of field (f/2.8).,Diffused but directional skylight; cool tones.,Close-up or medium shot.
Wetware / Bio-Circuitry,"Arterial red, bruised purple, surgical steel grey, pale flesh tones.","Wet mucus, exposed muscle fibers, sleek copper wiring, silicone.",Macro lens (100mm); extremely shallow depth of field.,"Cold, clinical operating theatre lights (6000K) with red strobes.",Extreme close-up (ECU).
Osteo-Futurism / Bone-Tech,"Ivory white, marrow red, matte black carbon fiber, beige.","Porous bone, smooth enamel, Voronoi patterns, rigid spinal structures.",Portrait lens (85mm); sharp focus.,"Soft, diffused white light (museum lighting).",Low angle bust shot.
Post-Human Porcelain,"Alabaster white, gold filigree, electric blue, deep darkness.","Flawless glazed ceramic skin, gold cracks (Kintsugi), glass, robotic joints.","Soft focus / ""Dream"" filter (Pro-Mist); blooming highlights.",Halo lighting (rim light).,"Symmetrical, passport-style front facing."
Toxic Accelerationism,"Radioactive lime green, bioluminescent violet, asphalt black, warning yellow.","Slime, thorns, pulsating veins, oily water, moss on concrete.",Wide-angle (24mm); high saturation; slight motion blur.,UV / Blacklight aesthetics; glowing objects.,"Eye-level, immersed framing."
Acid Graphics,"High-vis yellow, lime green, hot pink against absolute #000000 black.","Vector-sharp lines, dithering patterns, liquid chrome typography.",No lens distortion (orthographic feel); ultra-sharp digital rendering.,None (flat shading) or extreme rim lighting.,"Graphic design composition; centered, symmetrical."
Gothic Futurism,"Midnight blue, gold, holographic accents, dark stone grey.","Nano-carbon weave, stone carving, glowing circuitry, velvet.",Anamorphic lens; horizontal lens flares.,Bioluminescence; cool blue ambient with warm gold practicals.,Epic wide shots; symmetry.
Grimdark,"Muddy browns, olive greens, bruised purples, grey skies.","Mud, rain-slicked surfaces, blood, rust, battle damage.",High ISO noise (grainy); 50mm lens; muted contrast.,"Low key; practical light sources (torches, fires).",Eye-level combat perspective.
Post-Soviet Decay,"Pale sky blue, grey concrete, overgrown green, faded pastels.","Peeling paint, cracked pavement, dry winter grass, rusting equipment.",Wide angle (28mm); flat focus.,"Overcast, diffused soft light (shadowless).","Static, wide landscape shots."
Trash Polka,"Strictly Black, White, and Blood Red.","Ink splatters, halftone dots, brush strokes, stencil spray paint.",High-contrast graphic style; sharp focus.,Illustrative rather than realistic; flat backgrounds.,Collage composition; layering elements.
Chiaroscuro / Film Noir,High-contrast Black and White (silvery highlights).,"Cigarette smoke, rain on glass, silk, velvet, wet pavement.",50mm prime lens; soft focus filters (diffusion).,"Hard ""venetian blind"" shadows; silhouette lighting.",Dutch tilts; framing through objects.
Constructivism,"Red, Black, White, Cream.","Paper grain, matte ink, cut-out edges, bold typography.",Orthographic projection (no depth perspective).,None (flat graphic style).,Dynamic diagonals; aggressive upward lines.
Solarized,"Inverted tones; metallic cyans, solar oranges.",Metallic sheen on skin; halo effects; flat mid-tones.,Sabatier effect simulation; high contrast curves.,Frontal flash that is then tone-inverted.,Portrait framing; focus on facial topography.
Ferrofluid Dynamics,"Jet black, iridescent oil slick, chrome reflections.","Spikes, liquid ripples, smooth oily surfaces, sharp jagged edges.",High shutter speed; high contrast B&W rendering.,Multiple point lights for specular highlights.,Dynamic action shots.
Xeno-Crystalline,"Translucent teal, rose quartz, jagged grey rock, pale skin.","Sharp geometric facets, raw geodes, skin stretching, refraction.",Prism filter effects; light refracting into rainbows.,Backlighting is essential.,Detail shots of hands or faces.
Void-Stalker / Vantablack Tech,"#000000 (True Black), neon cyan/magenta outlines, grey fog.","Matte, non-reflective, void-like negative space.",Telephoto compression; high contrast curves (crushed blacks).,Silhouette lighting; bright background.,Wide shots emphasizing environment.
Cyber-Parasitism,"Rust orange, bruised blue, dirty white, industrial grey.","Corrugated tubes, duct tape, sweat, distressed skin, rusted clamps.","Gritty documentary style; ""dirty"" lens with dust specks.",Flickering fluorescent tubes (green tint).,High angle (powerless) or over-the-shoulder.
Nuclear Ash / Fallout,"Monochromatic grey scale, muted brown, faint ember orange.","Particulate matter, thick dust, torn rags, matte gas mask rubber.",Low contrast (flat); high grain/noise; soft focus.,"Flat, diffused; no direct sun.","Wide, lonely landscapes."
Glitch-Flesh / Reality Decay,Skin tone transitioning into RGB noise; black void; bright error colors.,"Low-poly geometry, pixelation, wireframe mesh, dissolving sand.",Digital distortion effects; data-moshing; perspective errors.,Mismatched lighting (subject vs environment).,Disjointed framing.
